#{"t_start": 1601012624.1188917, "env_id": "sdnsampling-v2"}
r,l,t
0.132551,1,14.682483
0.584124,1,14.698822
0.164687,1,14.70853
-0.020274,1,14.726647
0.028768,1,14.734153
0.162069,1,14.740886
0.306816,1,14.747325
0.047114,1,14.753754
0.290616,1,14.76137
0.01855,1,14.770424
0.38424,1,14.788991
0.190595,1,14.793601
0.182157,1,14.809602
0.44583,1,14.818721
0.228763,1,14.824522
0.522967,1,14.839089
0.422086,1,14.849044
0.073861,1,14.853914
0.297337,1,14.858014
0.234088,1,14.867832
0.36558,1,14.889387
0.236468,1,14.895561
0.533215,1,14.902901
0.149224,1,14.912449
0.144073,1,14.917448
0.177899,1,14.922224
0.246633,1,14.926765
0.389018,1,14.934797
0.312883,1,14.949419
0.333577,1,14.97259
0.405192,1,14.984546
0.355362,1,14.989946
0.312974,1,15.002246
0.329012,1,15.629748
0.560903,1,15.636397
0.224251,1,15.643486
-0.004027,1,15.649863
0.22033,1,15.656446
0.589438,1,15.662413
0.436782,1,15.669733
0.559135,1,15.676071
0.335715,1,15.683257
0.609754,1,15.694242
0.212493,1,15.700252
0.498665,1,15.713702
0.516317,1,15.725239
0.302813,1,15.730652
0.502566,1,15.743886
0.024558,1,15.748532
0.231447,1,15.75317
0.259668,1,15.759492
0.012455,1,15.768176
0.593478,1,15.772719
0.172846,1,15.777038
0.098775,1,15.781419
0.007676,1,15.786254
0.009723,1,15.791236
0.433706,1,15.799356
0.159668,1,15.807996
0.503328,1,15.830746
0.523276,1,15.842928
0.305804,1,15.848008
0.556006,1,15.859668
0.378665,1,15.870295
0.299446,1,15.874327
0.418031,1,15.887307
0.386903,1,15.896009
0.255751,1,15.900678
-0.01775,1,15.906165
0.420426,1,15.916884
0.16939,1,15.924023
0.388525,1,15.933664
0.62822,1,15.937821
0.109193,1,15.942583
-0.004739,1,15.946911
0.188025,1,15.951679
0.276228,1,15.971415
0.236432,1,15.977437
0.220206,1,15.983017
0.114785,1,15.993219
0.486713,1,16.004241
0.241057,1,16.010241
0.570666,1,16.029979
0.263908,1,16.035733
0.007821,1,16.041783
0.305035,1,16.053208
0.465294,1,16.069894
0.135907,1,16.074747
0.323906,1,16.080179
0.234635,1,16.087135
0.452131,1,16.09193
0.089454,1,16.096251
0.088816,1,16.10087
0.477398,1,16.105983
0.194142,1,16.111503
0.23231,1,16.116907
0.221726,1,16.123462
0.291402,1,16.130343
0.191877,1,16.140201
0.333754,1,16.146363
0.589357,1,16.156528
0.656748,1,16.169797
0.155053,1,16.178871
0.045726,1,16.185572
0.067278,1,16.19046
0.185398,1,16.19641
0.352488,1,16.206907
0.296816,1,16.217587
0.397128,1,16.224865
-0.009983,1,16.229205
0.29877,1,16.235721
0.506424,1,16.24252
0.37908,1,16.248403
0.230736,1,16.255705
0.48482,1,16.260712
0.350347,1,16.265858
0.51011,1,16.27116
0.159114,1,16.283141
0.13698,1,16.290277
0.285276,1,16.295816
0.116522,1,16.300988
0.202011,1,16.315293
0.2277,1,16.325379
0.162627,1,16.330997
0.601994,1,16.337662
0.084753,1,16.353336
0.324936,1,16.368099
0.43278,1,16.373942
0.321187,1,16.378586
0.129513,1,16.386256
0.188355,1,16.395509
0.40186,1,16.411943
0.373812,1,16.420171
