#{"t_start": 1617895544.1983058, "env_id": "sdnsampling-MTD-exp-v0"}
r,l,t
122,1,6212.971529
0,1,6222.849104
101,1,6233.052974
122,1,6243.731083
121,1,6254.267889
0,1,6264.045219
0,1,6273.783518
118,1,6284.224523
108,1,6294.660571
0,1,6304.424063
0,1,6314.06359
117,1,6324.543302
0,1,6334.260748
0,1,6343.944659
112,1,6354.427851
114,1,6364.664263
110,1,6375.136294
0,1,6384.772746
0,1,6394.319149
0,1,6404.035376
110,1,6414.467408
107,1,6424.861066
0,1,6434.540524
120,1,6445.019869
120,1,6455.492821
0,1,6465.234276
0,1,6474.960797
109,1,6485.464692
120,1,6495.973267
0,1,6505.724652
0,1,6515.55261
0,1,6525.314549
122,1,6535.830874
0,1,6545.595254
119,1,6556.099642
122,1,6566.660932
116,1,6577.261018
104,1,6587.559756
120,1,6598.176865
112,1,6608.722989
0,1,6617.868669
0,1,6637.860737
0,1,6647.064602
0,1,6656.310911
0,1,6676.380181
0,1,6685.451781
0,1,6694.635476
107,1,6714.715516
107,1,6735.014935
122,1,6745.664002
0,1,6755.316658
122,1,6765.771572
0,1,6775.487372
115,1,6786.030897
0,1,6795.883684
0,1,6805.559918
0,1,6815.181143
0,1,6824.945539
116,1,6835.319522
112,1,6845.779506
0,1,6855.472665
123,1,6866.076371
123,1,6876.610485
122,1,6886.953137
0,1,6896.715257
114,1,6907.059715
109,1,6917.517734
107,1,6927.765537
0,1,6937.390342
114,1,6947.860135
109,1,6958.339775
120,1,6968.973038
0,1,6978.763708
116,1,6989.293059
0,1,6999.042596
0,1,7008.752517
105,1,7018.97363
108,1,7029.352395
0,1,7039.152438
0,1,7048.856381
0,1,7058.617856
0,1,7068.317347
0,1,7078.156835
122,1,7088.567613
0,1,7098.467302
122,1,7109.067104
0,1,7118.82198
0,1,7128.656227
121,1,7139.272046
0,1,7148.945691
0,1,7158.705181
0,1,7168.56438
119,1,7179.650896
0,1,7189.472343
123,1,7199.990071
0,1,7209.634491
0,1,7219.366213
111,1,7229.942107
114,1,7240.475928
0,1,7250.167731
115,1,7260.755841
106,1,7271.253294
103,1,7281.71975
0,1,7291.404389
0,1,7301.124953
0,1,7310.852761
0,1,7320.599591
121,1,7331.134919
0,1,7340.855699
0,1,7350.476601
115,1,7360.920676
0,1,7370.607196
0,1,7380.248236
121,1,7390.779297
0,1,7400.611098
109,1,7411.055699
107,1,7421.438459
0,1,7431.313341
119,1,7441.881129
120,1,7452.394861
112,1,7462.985397
0,1,7472.740517
0,1,7482.672058
0,1,7492.595227
0,1,7502.388301
111,1,7512.844854
0,1,7522.557491
112,1,7533.12329
0,1,7542.950916
0,1,7552.64553
120,1,7563.235998
113,1,7573.767475
0,1,7583.559869
0,1,7593.316071
123,1,7603.877195
0,1,7613.691362
0,1,7623.455484
109,1,7633.860256
0,1,7643.739316
0,1,7653.481317
111,1,7664.047889
117,1,7674.69871
110,1,7685.267792
0,1,7695.108238
0,1,7704.848166
0,1,7714.5756
0,1,7724.479602
0,1,7734.283911
110,1,7744.587891
115,1,7755.137631
0,1,7764.934604
110,1,7775.522067
0,1,7785.339524
0,1,7795.204771
119,1,7805.644118
111,1,7816.21863
0,1,7826.049812
120,1,7836.505443
124,1,7846.968738
0,1,7856.739808
0,1,7866.443615
0,1,7876.088029
0,1,7885.727833
110,1,7896.049829
103,1,7906.349457
0,1,7915.940251
119,1,7926.295589
0,1,7935.96358
115,1,7946.194374
121,1,7956.416292
109,1,7966.783737
111,1,7977.195852
0,1,7986.791003
115,1,7997.164767
0,1,8006.785158
115,1,8016.985403
123,1,8027.456649
0,1,8037.086977
117,1,8047.345662
121,1,8057.763456
114,1,8068.267564
0,1,8077.923558
112,1,8088.203728
118,1,8098.471972
0,1,8108.099338
123,1,8118.445049
115,1,8128.768301
108,1,8139.124083
120,1,8149.46006
0,1,8159.025523
121,1,8169.407753
122,1,8179.659739
0,1,8189.895854
114,1,8200.278042
0,1,8209.855171
123,1,8220.175505
112,1,8230.472568
122,1,8240.844625
0,1,8250.263616
0,1,8259.775635
0,1,8269.279875
0,1,8278.757144
0,1,8288.240347
0,1,8297.840884
123,1,8308.242972
108,1,8318.603783
105,1,8328.952661
0,1,8338.444642
0,1,8347.815656
109,1,8358.181079
0,1,8367.739119
0,1,8377.306808
0,1,8386.827815
112,1,8397.010639
119,1,8407.291922
116,1,8417.753018
86,1,8437.716813
0,1,8446.737509
84,1,8466.730553
0,1,8475.781666
82,1,8495.740835
83,1,8515.758282
83,1,8535.852561
0,1,8545.489225
0,1,8555.162683
124,1,8565.548068
0,1,8575.102233
0,1,8584.900003
107,1,8595.428968
118,1,8606.104564
0,1,8615.904155
119,1,8626.432828
120,1,8636.972368
113,1,8647.250846
0,1,8656.975905
125,1,8667.345376
113,1,8677.752649
0,1,8687.318998
0,1,8696.822798
0,1,8706.47964
0,1,8715.968148
109,1,8726.36914
116,1,8736.752757
0,1,8746.293054
109,1,8756.734117
123,1,8767.052207
105,1,8777.183523
109,1,8787.271967
0,1,8796.787457
124,1,8807.032185
0,1,8816.551673
0,1,8826.124813
0,1,8835.611972
124,1,8846.048167
0,1,8855.627439
0,1,8865.276287
0,1,8874.837156
0,1,8884.43586
0,1,8894.093148
114,1,8904.425305
0,1,8913.967831
0,1,8923.574421
105,1,8933.898965
123,1,8944.251432
113,1,8954.682094
0,1,8964.191466
0,1,8973.845606
114,1,8984.065605
110,1,8994.441145
0,1,9004.032194
115,1,9014.332174
0,1,9023.868216
106,1,9034.351511
124,1,9044.656459
